nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
53,163,68.6,1,2,Matsalu,2016,2,NA,58.502172234870145,139.64711973706906,NA,NA,NA,NA,NA,NA
10,157,64.3,3,3,Matsalu,2016,2,NA,54.16315153164605,127.03475027954978,NA,NA,NA,NA,NA,NA
11,151,59.6,3,3,Matsalu,2016,2,NA,57.731417159178996,129.65952493604973,NA,NA,NA,NA,NA,NA
12,106,16.2,3,3,Matsalu,2016,2,NA,33.37939728917684,89.1307013296249,NA,NA,NA,NA,NA,NA
13,133,29,3,3,Matsalu,2016,2,NA,43.949495955159485,109.34210617602828,NA,NA,NA,NA,NA,NA
4,124,31.2,3,2,Matsalu,2016,2,NA,33.3082561654708,114.87416181647617,NA,NA,NA,NA,NA,NA
15,120,23.9,3,3,Matsalu,2016,2,NA,18.892127123528876,93.16431390516661,NA,NA,NA,NA,NA,NA
23,118,23.1,3,2,Matsalu,2016,2,NA,27.650465875563622,94.71052639625802,NA,NA,NA,NA,NA,NA
24,133,36,3,2,Matsalu,2016,2,NA,37.66003487178951,117.11618339933432,NA,NA,NA,NA,NA,NA
26,133,35.6,3,2,Matsalu,2016,2,NA,25.63975501036303,98.77973936924914,NA,NA,NA,NA,NA,NA
28,132,31.5,3,2,Matsalu,2016,2,NA,41.066112608961916,111.8715166235023,NA,NA,NA,NA,NA,NA
30,131,37.30000000000001,3,2,Matsalu,2016,2,NA,52.9053673236849,107.14982829822215,NA,NA,NA,NA,NA,NA
31,132,35,3,2,Matsalu,2016,2,NA,32.93945543027579,108.780310223561,NA,NA,NA,NA,NA,NA
41,151,57.5,3,2,Matsalu,2016,2,NA,47.710044703032764,125.29206653231212,NA,NA,NA,NA,NA,NA
46,160,68.6,3,2,Matsalu,2016,2,NA,55.877082398093215,135.88851375134277,NA,NA,NA,NA,NA,NA
47,153,62.1,3,2,Matsalu,2016,2,NA,58.89359870853572,123.65074123080034,NA,NA,NA,NA,NA,NA
52,158,70.6,3,2,Matsalu,2016,2,NA,46.540041487996035,135.2331559391572,NA,NA,NA,NA,NA,NA
54,177,69.1,1,3,Matsalu,2016,3,NA,56.08975027230267,144.69564377363798,173.83330298332223,NA,NA,NA,NA,NA
49,179,66,1,3,Matsalu,2016,4,NA,74.56045401415786,138.175074791464,156.4914771582237,167.4081107364852,NA,NA,NA,NA
35,98,15.1,0,3,Saarnaki,2016,1,NA,62.33149879484077,NA,NA,NA,NA,NA,NA,NA
41,98,15.6,0,4,Saarnaki,2016,1,NA,77.29994078946036,NA,NA,NA,NA,NA,NA,NA
43,99,14.6,0,3,Saarnaki,2016,1,NA,65.64196874477516,NA,NA,NA,NA,NA,NA,NA
45,74,4.5,0,3,Saarnaki,2016,1,NA,74.21732562195106,38.17572428819489,NA,NA,NA,NA,NA,NA
10,171,80.9,1,2,Saarnaki,2016,1,NA,99.77930867573411,NA,NA,NA,NA,NA,NA,NA
34,107,18.1,1,3,Saarnaki,2016,1,NA,63.7193908110222,NA,NA,NA,NA,NA,NA,NA
37,106,18.1,1,3,Saarnaki,2016,1,NA,71.35429731627124,NA,NA,NA,NA,NA,NA,NA
4,99,14.1,3,2,Saarnaki,2016,1,NA,72.67753705591248,NA,NA,NA,NA,NA,NA,NA
5,103,17.1,3,2,Saarnaki,2016,1,NA,60.81656362983245,NA,NA,NA,NA,NA,NA,NA
