nr,sex,location,introduction,age,tl
31,1,Kõiguste,2014,2,79.37418111757592
22,3,Kõiguste,2014,2,70.04025262262172
23,3,Kõiguste,2014,2,72.91666914673554
30,3,Kõiguste,2014,2,72.43857275419231
35,3,Kõiguste,2014,2,57.36987035883857
15,0,Kõiguste,2014,2,85.17657937762117
16,0,Kõiguste,2014,2,78.13603014752161
20,0,Kõiguste,2014,2,84.81955735807747
21,0,Kõiguste,2014,2,78.09462103068002
24,0,Kõiguste,2014,2,69.692533637099
27,0,Kõiguste,2014,2,76.26394263359224
28,0,Kõiguste,2014,2,85.68282938445013
34,0,Kõiguste,2014,2,55.541265686493624
36,0,Kõiguste,2014,2,57.40853579511511
40,0,Kõiguste,2014,2,97.8077097085113
47,0,Kõiguste,2014,2,110.84699983183003
48,0,Kõiguste,2014,2,102.38660313156075
5,1,Kõiguste,2014,2,108.4866846287498
7,1,Kõiguste,2014,2,135.53184091031216
9,1,Kõiguste,2014,2,134.64055624493955
13,1,Kõiguste,2014,2,84.37444797604631
25,1,Kõiguste,2014,2,74.82305336891183
37,1,Kõiguste,2014,2,137.4530967471079
38,1,Kõiguste,2014,2,173.6057061562798
42,1,Kõiguste,2014,2,105.06284232150335
44,1,Kõiguste,2014,2,133.5602607923127
46,1,Kõiguste,2014,2,113.15583973821218
51,1,Kõiguste,2014,2,139.28262932472626
58,1,Kõiguste,2014,2,129.73395990943058
14,3,Kõiguste,2014,2,70.84488987786268
18,3,Kõiguste,2014,2,87.39775289528819
19,3,Kõiguste,2014,2,75.62208572701125
26,3,Kõiguste,2014,2,77.6982139950597
33,3,Kõiguste,2014,2,75.07356275533391
52,3,Kõiguste,2014,2,89.83119025983996
3,0,Kõiguste,2014,2,122.19222585626932
17,0,Kõiguste,2014,2,82.1758878778062
43,0,Kõiguste,2014,2,119.38904511392914
45,0,Kõiguste,2014,2,107.82176248668145
50,0,Kõiguste,2014,2,124.03173127651962
4,1,Kõiguste,2014,2,89.12139934304632
6,1,Kõiguste,2014,2,121.11283548287432
8,1,Kõiguste,2014,2,114.32157829200702
12,1,Kõiguste,2014,2,109.02042475268068
49,1,Kõiguste,2014,2,100.93016774273713
53,1,Kõiguste,2014,2,121.73976909742576
54,1,Kõiguste,2014,2,119.96253113056274
55,1,Kõiguste,2014,2,142.92369660769197
56,1,Kõiguste,2014,2,121.49625218581359
61,1,Kõiguste,2014,2,114.66885211318323
1,0,Kõiguste,2014,2,100.28710193975516
11,0,Kõiguste,2014,2,115.06563132059514
10,1,Kõiguste,2014,2,102.35556302862213
57,1,Kõiguste,2014,2,114.4452880858748
59,1,Kõiguste,2014,2,102.15866290408714
60,1,Kõiguste,2014,2,122.68663425760114
16,0,Käsmu,2012,2,89.46286953141906
17,0,Käsmu,2012,2,97.20839229537049
20,0,Käsmu,2012,2,62.640357706716514
21,0,Käsmu,2012,2,68.57004973565482
15,1,Käsmu,2012,2,94.48079443439659
37,1,Käsmu,2012,2,98.58050805581472
19,3,Käsmu,2012,2,92.53703765410157
5,0,Käsmu,2012,2,65.47565151615777
18,0,Käsmu,2012,2,79.55055245340644
30,0,Käsmu,2012,2,75.19412910560533
36,0,Käsmu,2012,2,72.9739567505742
39,0,Käsmu,2012,2,99.12511657037501
42,0,Käsmu,2012,2,91.85821315345697
1,1,Käsmu,2012,2,92.4815843421979
2,1,Käsmu,2012,2,79.7378438268402
10,1,Käsmu,2012,2,158.7830946018921
11,1,Käsmu,2012,2,98.85438641437673
12,1,Käsmu,2012,2,96.16306397792148
13,1,Käsmu,2012,2,52.859387725354715
14,1,Käsmu,2012,2,54.58106725911755
24,1,Käsmu,2012,2,110.22849859021483
25,1,Käsmu,2012,2,100.1196651377822
26,1,Käsmu,2012,2,114.96741314920286
27,1,Käsmu,2012,2,91.2930392355904
32,1,Käsmu,2012,2,86.15735137966398
33,1,Käsmu,2012,2,134.46090861729095
34,1,Käsmu,2012,2,136.59903359139466
35,1,Käsmu,2012,2,180.6980310422666
38,1,Käsmu,2012,2,91.68686216068406
41,1,Käsmu,2012,2,77.5602048061436
4,3,Käsmu,2012,2,73.74425988593543
22,3,Käsmu,2012,2,63.774430985862026
28,3,Käsmu,2012,2,50.62592437663394
31,3,Käsmu,2012,2,54.743431192254015
40,0,Käsmu,2012,2,74.78269170007887
43,0,Käsmu,2012,2,83.8297428781165
44,0,Käsmu,2012,2,93.00651205468608
45,0,Käsmu,2012,2,70.54703534773924
46,0,Käsmu,2012,2,108.57382647820927
47,0,Käsmu,2012,2,101.63850012712842
7,1,Käsmu,2012,2,129.39569775495636
8,1,Käsmu,2012,2,113.61763399276629
74,0,Käsmu,2012,2,142.3639733323497
1,0,Matsalu,2016,2,112.67763970430843
3,0,Matsalu,2016,2,97.45911192104035
6,0,Matsalu,2016,2,89.73858776922256
7,0,Matsalu,2016,2,76.62065702200951
8,0,Matsalu,2016,2,111.3013829259614
9,0,Matsalu,2016,2,112.63954302919596
14,0,Matsalu,2016,2,92.79571784015637
16,0,Matsalu,2016,2,101.84199750369504
18,0,Matsalu,2016,2,105.04792160038483
22,0,Matsalu,2016,2,124.08021963714776
25,0,Matsalu,2016,2,118.50901371322624
32,0,Matsalu,2016,2,114.93084006204502
33,0,Matsalu,2016,2,102.9860760200293
35,0,Matsalu,2016,2,153.26067751536536
43,0,Matsalu,2016,2,143.11543515418782
19,1,Matsalu,2016,2,121.98850725782525
38,1,Matsalu,2016,2,148.39925424270078
39,1,Matsalu,2016,2,132.05034164610294
40,1,Matsalu,2016,2,135.4565682261316
42,1,Matsalu,2016,2,123.73105200075251
44,1,Matsalu,2016,2,155.0780771949358
45,1,Matsalu,2016,2,128.2110206207923
48,1,Matsalu,2016,2,153.3292574160615
50,1,Matsalu,2016,2,135.29681934318273
53,1,Matsalu,2016,2,139.64711973706906
10,3,Matsalu,2016,2,127.03475027954978
11,3,Matsalu,2016,2,129.65952493604973
12,3,Matsalu,2016,2,89.1307013296249
13,3,Matsalu,2016,2,109.34210617602828
4,3,Matsalu,2016,2,114.87416181647617
15,3,Matsalu,2016,2,93.16431390516661
23,3,Matsalu,2016,2,94.71052639625802
24,3,Matsalu,2016,2,117.11618339933432
26,3,Matsalu,2016,2,98.77973936924914
28,3,Matsalu,2016,2,111.8715166235023
30,3,Matsalu,2016,2,107.14982829822215
31,3,Matsalu,2016,2,108.780310223561
41,3,Matsalu,2016,2,125.29206653231212
46,3,Matsalu,2016,2,135.88851375134277
47,3,Matsalu,2016,2,123.65074123080034
52,3,Matsalu,2016,2,135.2331559391572
54,1,Matsalu,2016,2,144.69564377363798
49,1,Matsalu,2016,2,138.175074791464
45,0,Saarnaki,2016,2,38.17572428819489
1,0,Saarnaki,2016,2,95.32921221725412
12,0,Saarnaki,2016,2,125.07778376946105
14,0,Saarnaki,2016,2,111.19413338226371
16,0,Saarnaki,2016,2,116.856802228975
18,0,Saarnaki,2016,2,134.2748158198064
19,0,Saarnaki,2016,2,101.29145930545467
20,0,Saarnaki,2016,2,123.97721480661322
22,0,Saarnaki,2016,2,100.66711719037706
26,0,Saarnaki,2016,2,94.38395629753332
29,0,Saarnaki,2016,2,132.67274640839116
40,0,Saarnaki,2016,2,125.57102807339375
2,1,Saarnaki,2016,2,112.82683710316626
7,1,Saarnaki,2016,2,92.2402819248259
